[2026-08-27 11:08:45.781] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120992.53mm, 67331.37mm, -91.18deg]
[2026-08-27 11:08:45.781] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120992.53mm, 67331.37mm, -91.18deg]
[2026-08-27 11:08:45.800] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120992.53mm, 67331.37mm, -91.18deg]
[2026-08-27 11:08:45.800] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120977.64mm, 67331.09mm, -91.15deg]
[2026-08-27 11:08:45.800] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120977.64mm, 67331.09mm, -91.15deg]
[2026-08-27 11:08:45.800] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120977.64mm, 67331.09mm, -91.15deg]
[2026-08-27 11:08:45.800] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120977.64mm, 67331.09mm, -91.15deg]
[2026-08-27 11:08:45.800] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120977.64mm, 67331.09mm, -91.15deg]
[2026-08-27 11:08:45.800] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120977.64mm, 67331.09mm, -91.15deg]
[2026-08-27 11:08:45.820] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120977.64mm, 67331.09mm, -91.15deg]
[2026-08-27 11:08:45.821] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120966.27mm, 67331.81mm, -91.27deg]
[2026-08-27 11:08:45.821] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120966.27mm, 67331.81mm, -91.27deg]
[2026-08-27 11:08:45.821] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120966.27mm, 67331.81mm, -91.27deg]
[2026-08-27 11:08:45.821] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120966.27mm, 67331.81mm, -91.27deg]
[2026-08-27 11:08:45.821] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120966.27mm, 67331.81mm, -91.27deg]
[2026-08-27 11:08:45.821] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120966.27mm, 67331.81mm, -91.27deg]
[2026-08-27 11:08:45.840] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120966.27mm, 67331.81mm, -91.27deg]
[2026-08-27 11:08:45.840] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120951.37mm, 67331.59mm, -91.24deg]
[2026-08-27 11:08:45.841] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120951.37mm, 67331.59mm, -91.24deg]
[2026-08-27 11:08:45.841] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120951.37mm, 67331.59mm, -91.24deg]
[2026-08-27 11:08:45.841] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120951.37mm, 67331.59mm, -91.24deg]
[2026-08-27 11:08:45.841] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120951.37mm, 67331.59mm, -91.24deg]
[2026-08-27 11:08:45.841] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120951.37mm, 67331.59mm, -91.24deg]
[2026-08-27 11:08:45.860] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120951.37mm, 67331.59mm, -91.24deg]
[2026-08-27 11:08:45.860] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120936.50mm, 67331.32mm, -91.22deg]
[2026-08-27 11:08:45.860] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120936.50mm, 67331.32mm, -91.22deg]
[2026-08-27 11:08:45.860] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120936.50mm, 67331.32mm, -91.22deg]
[2026-08-27 11:08:45.861] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120936.50mm, 67331.32mm, -91.22deg]
[2026-08-27 11:08:45.861] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120936.50mm, 67331.32mm, -91.22deg]
[2026-08-27 11:08:45.861] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120936.50mm, 67331.32mm, -91.22deg]
[2026-08-27 11:08:45.880] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120936.50mm, 67331.32mm, -91.22deg]
[2026-08-27 11:08:45.880] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120921.61mm, 67331.08mm, -91.19deg]
[2026-08-27 11:08:45.880] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120921.61mm, 67331.08mm, -91.19deg]
[2026-08-27 11:08:45.880] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120921.61mm, 67331.08mm, -91.19deg]
[2026-08-27 11:08:45.880] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120921.61mm, 67331.08mm, -91.19deg]
[2026-08-27 11:08:45.880] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120921.61mm, 67331.08mm, -91.19deg]
[2026-08-27 11:08:45.881] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120921.61mm, 67331.08mm, -91.19deg]
[2026-08-27 11:08:45.900] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120921.61mm, 67331.08mm, -91.19deg]
[2026-08-27 11:08:45.900] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120906.63mm, 67330.76mm, -91.17deg]
[2026-08-27 11:08:45.900] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120906.63mm, 67330.76mm, -91.17deg]
[2026-08-27 11:08:45.900] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120906.63mm, 67330.76mm, -91.17deg]
[2026-08-27 11:08:45.900] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120906.63mm, 67330.76mm, -91.17deg]
[2026-08-27 11:08:45.900] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120906.63mm, 67330.76mm, -91.17deg]
[2026-08-27 11:08:45.901] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120906.63mm, 67330.76mm, -91.17deg]
[2026-08-27 11:08:45.920] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120906.63mm, 67330.76mm, -91.17deg]
[2026-08-27 11:08:45.920] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120898.10mm, 67333.69mm, -91.27deg]
[2026-08-27 11:08:45.920] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120898.10mm, 67333.69mm, -91.27deg]
[2026-08-27 11:08:45.921] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120898.10mm, 67333.69mm, -91.27deg]
[2026-08-27 11:08:45.921] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120898.10mm, 67333.69mm, -91.27deg]
[2026-08-27 11:08:45.921] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120898.10mm, 67333.69mm, -91.27deg]
[2026-08-27 11:08:45.921] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120898.10mm, 67333.69mm, -91.27deg]
[2026-08-27 11:08:45.940] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120898.10mm, 67333.69mm, -91.27deg]
[2026-08-27 11:08:45.941] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120883.23mm, 67333.45mm, -91.24deg]
[2026-08-27 11:08:45.941] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120883.23mm, 67333.45mm, -91.24deg]
